category,stimulus,conceptual,perceptual,rt,n,typicality,p_typicality,p_conceptual,p_perceptual,id,block
bedrooms,stimuli/bedroom/img_l1h36.png,26.6428571428571,9.14285714285714,8053.59523809524,42,17.8928571428571,1,1,1,178,0
bedrooms,stimuli/bedroom/img_28eqs.png,19.575,8.575,8452.825,40,14.075,1,1,1,31,0
bedrooms,stimuli/bedroom/img_ozxpp.png,26.2647058823529,11.4705882352941,8944.41176470588,34,18.8676470588235,1,1,1,191,0
bedrooms,stimuli/bedroom/img_6fo9f.png,41.7,19,8872.875,40,30.35,2,2,2,88,0
bedrooms,stimuli/bedroom/img_ciboa.png,56.9459459459459,26.054054054054,10512.4324324324,37,41.5,2,3,2,142,0
bedrooms,stimuli/bedroom/img_3hmlp.png,35.5,22.1111111111111,9635.97222222222,36,28.8055555555556,2,1,2,52,0
bedrooms,stimuli/bedroom/img_0xwtf.png,52.5641025641026,35.5384615384615,46465.3076923077,39,44.0512820512821,3,2,3,14,0
bedrooms,stimuli/bedroom/img_5m75u.png,64.3055555555556,33.6111111111111,7140.72222222222,36,48.9583333333333,3,4,3,77,0
bedrooms,stimuli/bedroom/img_3arcv.png,58.65625,34.84375,21871.6875,32,46.75,3,3,3,48,0
kitchens,stimuli/kitchen/img_rav8j.png,16.9761904761905,6.5,8467.69047619048,42,11.7380952380952,1,1,1,409,0
kitchens,stimuli/kitchen/img_2qkvm.png,34.2352941176471,23.8529411764706,10280,34,29.0441176470588,1,1,1,279,0
kitchens,stimuli/kitchen/img_cfarv.png,42.3529411764706,24.6764705882353,8579.76470588235,34,33.5147058823529,1,1,1,354,0
kitchens,stimuli/kitchen/img_5oubg.png,50.9677419354839,33.0322580645161,7060.67741935484,31,42,2,2,2,320,0
kitchens,stimuli/kitchen/img_1yffi.png,49.4411764705882,29.8235294117647,7846.47058823529,34,39.6323529411765,2,2,2,268,0
kitchens,stimuli/kitchen/img_gztbt.png,55.0645161290323,26.0967741935484,13771.0322580645,31,40.5806451612903,2,2,2,371,0
kitchens,stimuli/kitchen/img_0j24m.png,63.6969696969697,35.7575757575758,7864.30303030303,33,49.7272727272727,3,3,3,235,0
kitchens,stimuli/kitchen/img_k0ze7.png,58.8214285714286,37.4642857142857,7631.42857142857,28,48.1428571428571,3,3,3,382,0
kitchens,stimuli/kitchen/img_x9ml4.png,58.7142857142857,38.4642857142857,7793.07142857143,28,48.5892857142857,3,3,3,428,0
living_rooms,stimuli/living_room/img_v771n.png,22.325,15.25,14923.15,40,18.7875,1,1,1,635,0
living_rooms,stimuli/living_room/img_gka64.png,19.2380952380952,20.0238095238095,8062.7619047619,42,19.6309523809524,1,1,1,565,0
living_rooms,stimuli/living_room/img_2wkab.png,10.9767441860465,8.23255813953488,8105.16279069767,43,9.6046511627907,1,1,1,460,0
living_rooms,stimuli/living_room/img_wixv2.png,30.6444444444444,24.6222222222222,11179.9111111111,45,27.6333333333333,2,2,2,646,0
living_rooms,stimuli/living_room/img_4800h.png,29.4102564102564,22.6923076923077,11688.358974359,39,26.0512820512821,2,1,2,472,0
living_rooms,stimuli/living_room/img_hc7o8.png,34.6410256410256,33.2307692307692,7224.38461538462,39,33.9358974358974,2,2,3,572,0
living_rooms,stimuli/living_room/img_9bkl9.png,46.6216216216216,34.2702702702703,9547.94594594595,37,40.445945945946,3,3,3,514,0
living_rooms,stimuli/living_room/img_1zhz6.png,49.0227272727273,32.7727272727273,9980.34090909091,44,40.8977272727273,3,3,3,453,0
living_rooms,stimuli/living_room/img_t3htz.png,45.3684210526316,38.2631578947368,7819.57894736842,38,41.8157894736842,3,3,4,630,0
