im_idx,image_id,category,stimulus,p_typicality,is_attn_check,presentation,block,trial,ISI,trigger_id
1,75,bedrooms,stimuli/bedroom/img_5k4cy.png,9,0,1,1,1,1.1,111
2,91,bedrooms,stimuli/bedroom/img_6tou7.png,4,0,1,1,2,1,111
3,179,bedrooms,stimuli/bedroom/img_ldof4.png,1,0,1,1,3,0.9,111
4,491,living_rooms,stimuli/living_room/img_68f2l.png,9,0,1,1,4,1.1,131
5,133,bedrooms,stimuli/bedroom/img_bpyv5.png,3,0,1,1,5,1.1,111
6,370,kitchens,stimuli/kitchen/img_gpkj3.png,5,0,1,1,6,1,121
7,19,bedrooms,stimuli/bedroom/img_1ccse.png,7,0,1,1,7,1.1,111
8,568,living_rooms,stimuli/living_room/img_h4cfz.png,2,0,1,1,8,1,131
9,597,living_rooms,stimuli/living_room/img_lzz3x.png,1,0,1,1,9,0.9,131
10,108,bedrooms,stimuli/bedroom/img_8vygl.png,3,0,1,1,10,1,111
11,315,kitchens,stimuli/kitchen/img_4ufga.png,4,0,1,1,11,0.9,121
12,93,bedrooms,stimuli/bedroom/img_6wshc.png,9,0,1,1,12,1.1,111
13,588,living_rooms,stimuli/living_room/img_koooi.png,5,0,1,1,13,0.9,131
152,662,Bathroom,alex-tyson-trSptCbWxAo-unsplash_resized.jpg,0,1,1,1,14,1,142
14,194,bedrooms,stimuli/bedroom/img_qgbyn.png,4,0,1,1,15,1,111
152,662,Bathroom,alex-tyson-trSptCbWxAo-unsplash_resized.jpg,0,1,2,1,16,1.1,242
15,639,living_rooms,stimuli/living_room/img_vh7v8.png,7,0,1,1,17,1,131
16,497,living_rooms,stimuli/living_room/img_6wne4.png,1,0,1,1,18,1.1,131
17,256,kitchens,stimuli/kitchen/img_1ibl4.png,8,0,1,1,19,1.1,121
18,287,kitchens,stimuli/kitchen/img_37uwk.png,4,0,1,1,20,1,121
19,512,living_rooms,stimuli/living_room/img_9684y.png,7,0,1,1,21,1.1,131
20,383,kitchens,stimuli/kitchen/img_kugyw.png,6,0,1,1,22,1,121
21,149,bedrooms,stimuli/bedroom/img_die1d.png,6,0,1,1,23,1,111
151,661,Bathroom,99-films-9K-rMgWLCYM-unsplash_resized.jpg,0,1,1,1,24,1,142
22,346,kitchens,stimuli/kitchen/img_as3da.png,9,0,1,1,25,1.1,121
23,438,kitchens,stimuli/kitchen/img_z10c7.png,3,0,1,1,26,0.9,121
24,282,kitchens,stimuli/kitchen/img_2vqdc.png,5,0,1,1,27,0.9,121
25,52,bedrooms,stimuli/bedroom/img_3hmlp.png,2,0,1,1,28,1.1,111
26,191,bedrooms,stimuli/bedroom/img_ozxpp.png,1,0,1,1,29,0.9,111
27,375,kitchens,stimuli/kitchen/img_ifebc.png,10,0,1,1,30,0.9,121
28,648,living_rooms,stimuli/living_room/img_wwmp0.png,8,0,1,1,31,1,131
29,206,bedrooms,stimuli/bedroom/img_uxxo0.png,5,0,1,1,32,0.9,111
30,445,living_rooms,stimuli/living_room/img_0t206.png,10,0,1,1,33,1,131
31,74,bedrooms,stimuli/bedroom/img_5il0t.png,2,0,1,1,34,1.1,111
32,220,bedrooms,stimuli/bedroom/img_zzb9f.png,10,0,1,1,35,1,111
33,177,bedrooms,stimuli/bedroom/img_kzg3h.png,7,0,1,1,36,0.9,111
34,432,kitchens,stimuli/kitchen/img_xnyo5.png,1,0,1,1,37,1.1,121
35,286,kitchens,stimuli/kitchen/img_33ka1.png,3,0,1,1,38,0.9,121
36,31,bedrooms,stimuli/bedroom/img_28eqs.png,1,0,1,1,39,1,111
37,462,living_rooms,stimuli/living_room/img_319z4.png,5,0,1,1,40,1,131
38,532,living_rooms,stimuli/living_room/img_bendp.png,7,0,1,1,41,1.1,131
153,663,Bathroom,alexander-fife-6fWlqSqzWus-unsplash_resized.jpg,0,1,1,1,42,1,142
39,517,living_rooms,stimuli/living_room/img_9ugw8.png,6,0,1,1,43,0.9,131
153,663,Bathroom,alexander-fife-6fWlqSqzWus-unsplash_resized.jpg,0,1,2,1,44,1,242
40,348,kitchens,stimuli/kitchen/img_b2xn0.png,1,0,1,1,45,1,121
41,531,living_rooms,stimuli/living_room/img_bdqmg.png,3,0,1,1,46,1,131
151,661,Bathroom,99-films-9K-rMgWLCYM-unsplash_resized.jpg,0,1,2,1,47,1.1,242
42,178,bedrooms,stimuli/bedroom/img_l1h36.png,1,0,1,1,48,1,111
43,590,living_rooms,stimuli/living_room/img_kq9s9.png,4,0,1,1,49,0.9,131
44,455,living_rooms,stimuli/living_room/img_26n4i.png,2,0,1,1,50,0.9,131
45,546,living_rooms,stimuli/living_room/img_dpu2p.png,4,0,1,1,51,1.1,131
46,574,living_rooms,stimuli/living_room/img_i1q3w.png,2,0,1,1,52,1.1,131
47,94,bedrooms,stimuli/bedroom/img_70ji9.png,5,0,1,1,53,1,111
48,16,bedrooms,stimuli/bedroom/img_13ozs.png,2,0,1,1,54,0.9,111
151,661,Bathroom,99-films-9K-rMgWLCYM-unsplash_resized.jpg,0,1,3,1,55,1.1,242
49,486,living_rooms,stimuli/living_room/img_5nlyi.png,5,0,1,1,56,0.9,131
50,658,living_rooms,stimuli/living_room/img_z4jxm.png,10,0,1,1,57,1,131
51,33,bedrooms,stimuli/bedroom/img_2cebl.png,9,0,1,1,58,1,111
52,428,kitchens,stimuli/kitchen/img_x9ml4.png,3,0,1,1,59,1,121
53,548,living_rooms,stimuli/living_room/img_dwpyn.png,3,0,1,1,60,0.9,131
54,101,bedrooms,stimuli/bedroom/img_7caxh.png,8,0,1,1,61,1.1,111
55,628,living_rooms,stimuli/living_room/img_syam3.png,2,0,1,1,62,1,131
56,162,bedrooms,stimuli/bedroom/img_gv750.png,8,0,1,1,63,0.9,111
57,9,bedrooms,stimuli/bedroom/img_0nckg.png,4,0,1,1,64,1,111
58,8,bedrooms,stimuli/bedroom/img_0ekxv.png,7,0,1,1,65,1.1,111
59,288,kitchens,stimuli/kitchen/img_38iec.png,1,0,1,1,66,0.9,121
60,56,bedrooms,stimuli/bedroom/img_3p0zv.png,1,0,1,1,67,1.1,111
61,20,bedrooms,stimuli/bedroom/img_1d1l9.png,9,0,1,1,68,1,111
62,1,bedrooms,stimuli/bedroom/img_002cv.png,10,0,1,1,69,0.9,111
63,251,kitchens,stimuli/kitchen/img_1ao2d.png,1,0,1,1,70,1.1,121
64,414,kitchens,stimuli/kitchen/img_t6rsv.png,5,0,1,1,71,0.9,121
65,509,living_rooms,stimuli/living_room/img_8i3q8.png,8,0,1,1,72,0.9,131
66,592,living_rooms,stimuli/living_room/img_lgxzn.png,6,0,1,1,73,1.1,131
67,210,bedrooms,stimuli/bedroom/img_x0u5z.png,10,0,1,1,74,1,111
68,186,bedrooms,stimuli/bedroom/img_o37la.png,4,0,1,1,75,1.1,111
69,495,living_rooms,stimuli/living_room/img_6vila.png,8,0,1,1,76,1.1,131
70,441,living_rooms,stimuli/living_room/img_00ojb.png,9,0,1,1,77,1.1,131
152,662,Bathroom,alex-tyson-trSptCbWxAo-unsplash_resized.jpg,0,1,3,1,78,0.9,242
71,63,bedrooms,stimuli/bedroom/img_49h18.png,3,0,1,1,79,1.1,111
72,289,kitchens,stimuli/kitchen/img_39hz5.png,10,0,1,1,80,1,121
73,585,living_rooms,stimuli/living_room/img_k0m56.png,6,0,1,1,81,1,131
74,318,kitchens,stimuli/kitchen/img_5949k.png,3,0,1,1,82,0.9,121
75,433,kitchens,stimuli/kitchen/img_xtb79.png,2,0,1,1,83,0.9,121
76,554,living_rooms,stimuli/living_room/img_emh91.png,8,0,1,1,84,1,131
