category,stimulus,conceptual,perceptual,rt,n,typicality,p_typicality,p_conceptual,p_perceptual,id,block
bedrooms,stimuli/bedroom/img_l1h36.png,26.6428571428571,9.14285714285714,8053.59523809524,42,17.8928571428571,1,1,1,178,0
bedrooms,stimuli/bedroom/img_28eqs.png,19.575,8.575,8452.825,40,14.075,1,1,1,31,0
bedrooms,stimuli/bedroom/img_ozxpp.png,26.2647058823529,11.4705882352941,8944.41176470588,34,18.8676470588235,1,1,1,191,0
bedrooms,stimuli/bedroom/img_3p0zv.png,28.3414634146341,11.0243902439024,7691.82926829268,41,19.6829268292683,1,1,1,56,0
bedrooms,stimuli/bedroom/img_ldof4.png,20.9189189189189,10.3513513513514,7484.81081081081,37,15.6351351351351,1,1,1,179,0
bedrooms,stimuli/bedroom/img_3hmlp.png,35.5,22.1111111111111,9635.97222222222,36,28.8055555555556,2,1,2,52,0
bedrooms,stimuli/bedroom/img_13ozs.png,35.0487804878049,19.6585365853659,9451.92682926829,41,27.3536585365854,2,1,2,16,0
bedrooms,stimuli/bedroom/img_5il0t.png,48.0952380952381,30.9047619047619,13418.0714285714,42,39.5,2,2,2,74,0
bedrooms,stimuli/bedroom/img_ze7ns.png,43.125,22.9,9117.1,40,33.0125,2,2,2,216,0
bedrooms,stimuli/bedroom/img_awuev.png,44.2105263157895,24.2631578947368,7503.57894736842,38,34.2368421052632,2,2,2,125,0
bedrooms,stimuli/bedroom/img_3arcv.png,58.65625,34.84375,21871.6875,32,46.75,3,3,3,48,0
bedrooms,stimuli/bedroom/img_bpyv5.png,59.0588235294118,37.5588235294118,8243.97058823529,34,48.3088235294118,3,3,3,133,0
bedrooms,stimuli/bedroom/img_49h18.png,59.2894736842105,32.8421052631579,7789.36842105263,38,46.0657894736842,3,3,3,63,0
bedrooms,stimuli/bedroom/img_2qdvq.png,59.125,43.975,7308.45,40,51.55,3,3,4,42,0
bedrooms,stimuli/bedroom/img_8vygl.png,66.3157894736842,25.9736842105263,7810.23684210526,38,46.1447368421053,3,4,2,108,0
bedrooms,stimuli/bedroom/img_0nckg.png,65.9428571428571,41.1714285714286,8524.37142857143,35,53.5571428571428,4,4,4,9,0
bedrooms,stimuli/bedroom/img_o37la.png,65.2432432432432,42.7837837837838,9056.37837837838,37,54.0135135135135,4,4,4,186,0
bedrooms,stimuli/bedroom/img_qgbyn.png,65.0810810810811,40.1081081081081,6877.89189189189,37,52.5945945945946,4,4,4,194,0
bedrooms,stimuli/bedroom/img_kljj4.png,64.35,44.15,8833.2,40,54.25,4,4,4,174,0
