category,stimulus,conceptual,perceptual,rt,n,typicality,p_typicality,p_conceptual,p_perceptual
bedrooms,stimuli/bedroom/img_c2pbs.png,21.95238095238095,14.47619047619048,7881.785714285715,42,18.21428571428572,1,1,1
bedrooms,stimuli/bedroom/img_28eqs.png,19.575,8.575,8452.825,40,14.075,1,1,1
bedrooms,stimuli/bedroom/img_l1h36.png,26.64285714285714,9.142857142857142,8053.595238095239,42,17.89285714285714,1,1,1
bedrooms,stimuli/bedroom/img_ozxpp.png,26.26470588235294,11.47058823529412,8944.411764705883,34,18.86764705882353,1,1,1
bedrooms,stimuli/bedroom/img_le8uf.png,12.88888888888889,9.222222222222221,8396.805555555555,36,11.05555555555556,1,1,1
bedrooms,stimuli/bedroom/img_5yhyk.png,46.375,31.325,9349.05,40,38.85,2,2,2
bedrooms,stimuli/bedroom/img_ys3qz.png,46.79545454545455,31.20454545454545,9747.636363636364,44,39,2,2,2
bedrooms,stimuli/bedroom/img_3kho5.png,40.90625,26.46875,7895.84375,32,33.6875,2,2,2
bedrooms,stimuli/bedroom/img_c4uwt.png,44.48387096774194,30.06451612903226,7506.870967741936,31,37.2741935483871,2,2,2
bedrooms,stimuli/bedroom/img_65cdi.png,46.92307692307692,27,11718.41025641026,39,36.96153846153846,2,2,2
bedrooms,stimuli/bedroom/img_dmjh8.png,57.48648648648648,37.64864864864865,7509.108108108108,37,47.56756756756756,3,3,3
bedrooms,stimuli/bedroom/img_2dnfy.png,59.97297297297298,37.56756756756756,24506.7027027027,37,48.77027027027027,3,3,3
bedrooms,stimuli/bedroom/img_t4hvr.png,61.69230769230769,39.76923076923077,6763.25641025641,39,50.73076923076923,3,3,3
bedrooms,stimuli/bedroom/img_gsfx4.png,59.94736842105263,33.81578947368421,7752.342105263157,38,46.88157894736842,3,3,3
bedrooms,stimuli/bedroom/img_49h18.png,59.28947368421053,32.8421052631579,7789.368421052632,38,46.06578947368421,3,3,3
bedrooms,stimuli/bedroom/img_badai.png,63.97435897435897,43.38461538461539,8195.153846153846,39,53.67948717948718,4,4,4
bedrooms,stimuli/bedroom/img_kljj4.png,64.35,44.15,8833.2,40,54.25,4,4,4
bedrooms,stimuli/bedroom/img_o37la.png,65.24324324324324,42.78378378378378,9056.378378378378,37,54.01351351351352,4,4,4
bedrooms,stimuli/bedroom/img_088sa.png,67.36363636363636,42.12121212121212,9423.515151515152,33,54.74242424242424,4,4,4
bedrooms,stimuli/bedroom/img_twj5p.png,67.71739130434783,42.08695652173913,9188.760869565218,46,54.90217391304348,4,4,4
bedrooms,stimuli/bedroom/img_h13c3.png,71.80555555555556,47.86111111111111,11158.27777777778,36,59.83333333333334,5,5,5
bedrooms,stimuli/bedroom/img_uttnz.png,69.91891891891892,49.91891891891892,7047.810810810811,37,59.91891891891892,5,5,5
bedrooms,stimuli/bedroom/img_wijef.png,69.875,48.025,8096.225,40,58.95,5,5,5
bedrooms,stimuli/bedroom/img_mqnl6.png,70.7560975609756,45.68292682926829,12304.63414634146,41,58.21951219512195,5,5,5
bedrooms,stimuli/bedroom/img_zt893.png,68.53191489361703,49.19148936170212,7754.404255319149,47,58.86170212765958,5,5,5
bedrooms,stimuli/bedroom/img_bntrh.png,76.07894736842105,53.36842105263158,9014.868421052632,38,64.72368421052632,6,6,6
bedrooms,stimuli/bedroom/img_mdpr4.png,74.04255319148936,54.70212765957447,6515.95744680851,47,64.37234042553192,6,6,6
